Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
139,138.67,0.77,137.77,147.61,145.36,0.75,0.94,1.76,13.29,14.71,3.21,0.31,25.05,7.80,145.80,16.76,65.71,1.26,50.30,93311.00,0.10,1.228454e+003,12.91
140,41.09,0.71,162.24,156.99,151.06,0.77,0.92,1.41,7.23,8.40,1.92,0.52,11.93,6.22,155.54,10.02,36.30,1.13,43.26,37797.00,0.14,1.981615e+002,6.02
141,48.44,0.68,143.74,144.95,141.37,0.73,0.91,1.42,7.85,9.08,1.93,0.52,12.72,6.60,143.74,11.37,38.65,1.12,46.09,39528.00,0.13,2.536306e+002,6.71
142,48.44,0.67,149.91,151.35,155.31,0.69,0.87,1.76,7.85,9.50,3.21,0.31,16.42,5.11,151.79,10.97,43.07,1.20,43.63,41742.00,0.17,2.536306e+002,6.87
143,34.13,0.92,135.43,133.12,137.03,0.81,0.94,1.42,6.59,7.69,1.94,0.52,11.20,5.78,134.31,8.15,33.96,1.13,40.69,28474.00,0.14,1.500004e+002,6.66
144,152.36,0.70,147.75,153.91,151.32,0.68,0.92,1.74,13.93,16.12,3.16,0.32,25.87,8.18,152.43,19.55,68.11,1.20,46.59,105636.00,0.14,1.414697e+003,12.09
145,80.74,0.60,139.24,142.87,145.52,0.63,0.85,1.73,10.14,12.00,3.12,0.32,19.75,6.34,143.10,15.42,52.18,1.19,55.67,58673.00,0.16,5.457490e+002,7.99
146,22.91,0.88,141.46,129.92,127.80,0.82,0.96,1.42,5.40,6.23,1.95,0.51,9.77,5.00,130.12,6.98,29.54,1.16,47.94,20819.00,0.13,8.247342e+001,5.29
147,92.84,0.62,137.44,145.23,149.61,0.64,0.87,1.73,10.87,13.17,3.10,0.32,21.05,6.79,145.66,16.38,55.68,1.28,54.58,66856.00,0.17,6.729097e+002,9.97
148,33.91,0.64,129.51,134.14,134.55,0.69,0.86,1.42,6.57,7.84,1.97,0.51,11.25,5.73,133.71,9.68,33.96,1.11,41.68,28212.00,0.16,1.485417e+002,5.25
149,93.09,0.99,162.28,165.36,165.45,0.85,0.98,1.43,10.89,12.00,1.97,0.51,16.63,8.45,165.03,12.99,50.16,1.15,50.27,75915.00,0.09,6.756138e+002,11.08
150,130.46,0.62,146.59,155.72,156.58,0.62,0.87,1.70,12.89,14.91,3.02,0.33,23.68,7.84,154.83,17.73,63.04,1.19,33.98,94136.00,0.14,1.120972e+003,11.51
151,54.99,0.60,148.80,148.03,147.82,0.64,0.84,1.70,8.37,10.05,3.02,0.33,16.71,5.54,147.45,12.15,44.50,1.19,49.98,44678.00,0.17,3.067218e+002,7.51
152,187.88,0.64,119.55,131.07,129.82,0.61,0.89,1.70,15.47,17.86,3.01,0.33,27.62,9.16,129.29,22.71,73.58,1.19,47.71,107178.00,0.13,1.937222e+003,14.27
153,98.82,0.62,162.41,169.69,167.24,0.68,0.89,1.43,11.22,12.71,1.98,0.50,17.10,8.62,168.11,15.42,51.45,1.12,51.87,81198.00,0.12,7.389837e+002,8.57
154,135.08,0.81,158.68,165.06,165.22,0.79,0.96,1.69,13.11,14.76,2.97,0.34,23.82,8.03,164.39,16.37,63.69,1.22,50.14,102911.00,0.11,1.180963e+003,12.49
155,62.58,0.82,142.59,144.40,141.35,0.78,0.94,1.68,8.93,10.28,2.95,0.34,17.37,5.89,143.24,11.91,46.52,1.21,42.26,47987.00,0.13,3.723652e+002,8.62
156,72.69,0.65,160.07,156.69,149.66,0.70,0.90,1.43,9.62,11.04,2.01,0.50,15.20,7.58,154.77,14.16,45.55,1.12,45.87,58349.00,0.13,4.661919e+002,7.95
157,54.05,0.86,156.14,156.13,153.52,0.83,0.96,1.44,8.30,9.46,2.01,0.50,13.56,6.73,155.03,10.24,40.59,1.14,49.57,46354.00,0.12,2.988846e+002,8.53
158,103.58,0.85,173.52,171.39,169.84,0.76,0.95,1.68,11.48,13.12,2.94,0.34,21.25,7.22,170.97,14.87,56.92,1.21,48.71,85828.00,0.12,7.930066e+002,11.05
159,28.22,0.85,167.34,168.21,168.67,0.83,0.96,1.44,5.99,7.00,2.02,0.50,10.68,5.29,168.25,8.62,31.94,1.15,50.12,31127.00,0.14,1.127805e+002,5.74
160,75.85,0.70,168.13,168.78,163.90,0.75,0.93,1.44,9.83,11.02,2.02,0.49,15.52,7.68,167.24,13.46,46.38,1.14,54.63,65223.00,0.11,4.969330e+002,8.49
161,87.14,0.81,141.72,151.92,151.78,0.81,0.96,1.44,10.53,11.64,2.02,0.49,16.41,8.11,150.72,12.69,49.05,1.15,47.09,65713.00,0.09,6.119068e+002,9.67
162,63.05,0.83,144.76,144.18,142.85,0.80,0.95,1.67,8.96,10.14,2.91,0.34,17.32,5.94,143.84,11.00,46.52,1.23,43.42,48473.00,0.12,3.766387e+002,8.92
163,70.75,0.63,144.24,147.37,146.88,0.66,0.87,1.67,9.49,11.03,2.89,0.35,18.06,6.24,146.56,13.24,48.59,1.20,50.94,54080.00,0.14,4.476680e+002,8.88
164,70.75,0.62,165.64,166.48,162.09,0.68,0.88,1.44,9.49,10.99,2.03,0.49,15.12,7.45,165.05,13.58,45.14,1.12,53.61,60904.00,0.14,4.476680e+002,7.42
165,55.93,0.94,163.84,158.48,157.50,0.73,0.92,1.67,8.44,10.30,2.89,0.35,16.94,5.86,158.37,11.88,45.60,1.46,31.83,48619.00,0.18,3.146420e+002,9.01
166,134.31,0.78,160.83,168.15,163.45,0.76,0.95,1.44,13.08,14.23,2.03,0.49,19.66,9.68,165.90,16.18,58.67,1.16,46.20,103355.00,0.08,1.170881e+003,12.39
167,69.78,0.75,161.06,161.76,156.15,0.78,0.94,1.44,9.43,10.62,2.04,0.49,15.09,7.39,159.99,12.64,44.95,1.14,51.33,58398.00,0.11,4.385197e+002,8.66
168,115.43,0.83,149.64,151.53,147.55,0.79,0.96,1.67,12.12,13.54,2.89,0.35,22.02,7.61,150.04,14.78,59.27,1.22,48.33,82374.00,0.10,9.329708e+002,11.79
169,105.34,0.82,151.96,159.66,158.87,0.79,0.95,1.45,11.58,13.02,2.06,0.48,18.12,8.78,158.55,14.48,53.80,1.28,44.14,80701.00,0.11,8.132857e+002,11.70
170,93.09,0.88,164.69,160.59,155.88,0.77,0.96,1.66,10.89,12.36,2.88,0.35,20.30,7.05,159.57,13.58,54.71,1.33,42.30,73404.00,0.12,6.756138e+002,11.20
171,55.46,0.45,171.25,166.66,165.72,0.54,0.74,1.45,8.40,10.18,2.07,0.48,13.88,6.71,149.46,13.66,41.18,1.09,7.55,45585.00,0.17,3.106716e+002,5.12
172,45.90,0.63,134.40,133.34,133.11,0.70,0.88,1.45,7.64,8.86,2.07,0.48,12.92,6.24,133.36,10.81,38.32,1.14,35.76,35208.00,0.14,2.339235e+002,5.88
173,59.00,0.64,176.56,173.33,170.08,0.69,0.88,1.66,8.67,10.48,2.86,0.35,16.73,5.84,172.56,13.07,45.14,1.16,50.51,55218.00,0.17,3.409493e+002,7.15
174,183.15,0.79,148.60,155.37,155.02,0.78,0.96,1.45,15.27,16.77,2.08,0.48,22.83,10.97,154.48,19.11,67.59,1.24,46.42,125283.00,0.09,1.864511e+003,15.00
175,31.27,0.79,166.18,157.68,146.84,0.80,0.94,1.45,6.31,7.35,2.09,0.48,11.26,5.40,155.40,8.25,33.31,1.15,48.28,30925.00,0.14,1.315142e+002,6.41
176,78.78,0.80,142.22,143.68,137.65,0.75,0.93,1.45,10.02,11.33,2.09,0.48,16.01,7.67,140.97,12.95,47.35,1.14,35.44,56671.00,0.12,5.260034e+002,9.75
177,58.53,0.79,159.65,157.91,164.66,0.79,0.95,1.45,8.63,10.26,2.09,0.48,15.21,7.27,156.66,11.88,44.95,1.66,25.44,49818.00,0.16,3.368460e+002,8.61
178,91.60,0.68,140.16,145.87,143.75,0.70,0.90,1.65,10.80,12.45,2.83,0.35,19.80,7.00,144.57,14.97,53.61,1.19,34.81,65636.00,0.13,6.594533e+002,10.09
179,99.32,0.83,172.15,174.37,175.59,0.83,0.97,1.46,11.25,12.32,2.09,0.48,17.61,8.41,174.48,13.78,52.04,1.17,49.41,84623.00,0.09,7.445996e+002,10.67
180,174.50,0.82,149.72,161.43,156.20,0.79,0.96,1.65,14.91,16.43,2.82,0.35,25.89,9.18,158.52,18.08,70.13,1.22,46.98,123331.00,0.09,1.733974e+003,13.98
181,64.25,0.69,163.12,164.27,162.14,0.73,0.91,1.46,9.04,10.35,2.10,0.48,14.80,7.06,163.40,11.97,43.72,1.14,40.94,55883.00,0.13,3.874088e+002,8.21
182,112.14,0.67,146.35,149.51,146.86,0.68,0.90,1.64,11.95,13.97,2.81,0.36,21.45,7.63,148.35,17.41,58.16,1.17,53.71,79518.00,0.14,8.933699e+002,10.95
183,43.37,0.94,171.53,170.33,169.31,0.77,0.95,1.64,7.43,8.72,2.81,0.36,14.72,5.25,170.00,9.92,39.94,1.20,52.18,43010.00,0.15,2.148827e+002,7.41
184,32.14,0.86,172.77,171.25,168.08,0.82,0.95,1.64,6.40,7.68,2.78,0.36,13.14,4.72,170.29,8.80,35.71,1.19,50.76,34568.00,0.17,1.370917e+002,6.50
185,109.11,0.70,143.35,142.71,142.58,0.68,0.90,1.63,11.79,13.50,2.75,0.36,20.96,7.63,142.73,16.33,57.19,1.18,45.36,74793.00,0.13,8.574136e+002,11.05
186,43.14,0.69,127.23,136.73,138.82,0.73,0.90,1.62,7.41,8.88,2.73,0.37,14.50,5.31,135.73,10.67,39.62,1.17,51.42,34203.00,0.17,2.131852e+002,6.27
187,48.67,0.90,147.54,146.28,142.49,0.78,0.94,1.47,7.87,9.12,2.16,0.46,13.50,6.24,145.27,10.13,39.48,1.14,37.07,40095.00,0.14,2.554547e+002,8.23
188,83.20,0.40,99.22,108.51,114.08,0.39,0.66,1.47,10.29,12.79,2.17,0.46,16.67,7.69,109.11,17.47,48.73,1.06,33.17,45825.00,0.20,5.708375e+002,6.56
189,67.85,0.71,176.48,168.04,158.61,0.75,0.92,1.48,9.29,10.73,2.17,0.46,15.40,7.08,166.17,13.10,44.95,1.14,47.74,59323.00,0.13,4.204523e+002,7.44
190,163.01,0.67,133.52,145.02,144.76,0.70,0.92,1.48,14.41,16.06,2.18,0.46,22.08,10.15,143.54,19.25,64.47,1.14,54.79,105356.00,0.10,1.565602e+003,12.67
191,98.57,0.85,141.49,154.87,155.15,0.80,0.96,1.62,11.20,12.55,2.72,0.37,19.99,7.36,153.40,14.62,54.71,1.20,43.79,73941.00,0.11,7.361821e+002,10.71
192,120.26,0.71,156.24,164.56,164.47,0.73,0.93,1.48,12.37,13.68,2.19,0.46,19.50,8.90,163.58,15.75,56.79,1.16,44.92,92911.00,0.10,9.920464e+002,11.06
193,155.99,0.79,158.85,163.39,158.47,0.79,0.96,1.48,14.09,15.39,2.20,0.45,21.81,9.90,161.32,17.67,63.42,1.17,46.95,114051.00,0.08,1.465566e+003,12.98
194,47.98,0.95,156.25,147.80,146.21,0.77,0.93,1.62,7.82,9.36,2.71,0.37,15.28,5.64,147.47,10.33,41.83,1.33,33.22,40260.00,0.16,2.499984e+002,7.96
195,101.32,0.79,162.85,160.62,156.11,0.79,0.96,1.48,11.36,12.78,2.21,0.45,18.55,8.41,159.51,14.20,53.93,1.34,47.02,78640.00,0.11,7.672301e+002,11.41
196,58.53,0.78,162.52,166.85,164.41,0.78,0.94,1.60,8.63,10.12,2.65,0.38,16.03,6.06,165.62,11.52,44.17,1.17,39.24,52667.00,0.15,3.368460e+002,8.36
197,69.78,0.60,153.90,157.82,152.62,0.63,0.83,1.48,9.43,11.12,2.21,0.45,15.70,7.10,155.67,13.42,45.60,1.12,47.63,56819.00,0.15,4.385197e+002,8.17
198,72.20,0.77,139.78,146.63,150.84,0.72,0.92,1.60,9.59,11.06,2.64,0.38,17.39,6.59,146.94,12.80,47.95,1.18,47.39,55103.00,0.13,4.615327e+002,9.03
199,41.09,0.89,129.38,127.96,130.60,0.76,0.92,1.59,7.23,8.73,2.61,0.38,13.93,5.33,128.68,9.56,38.51,1.15,31.49,31270.00,0.17,1.981615e+002,7.46
200,231.60,0.67,134.86,148.35,143.25,0.67,0.91,1.49,17.17,18.98,2.22,0.45,25.98,11.68,145.27,21.88,75.33,1.15,45.71,144394.00,0.10,2.651406e+003,14.30
201,50.30,0.63,110.78,114.44,118.34,0.69,0.87,1.49,8.00,9.52,2.23,0.45,13.88,6.23,115.19,11.44,40.21,1.12,46.15,32600.00,0.16,2.683748e+002,6.98
202,37.25,0.84,145.40,142.65,143.15,0.77,0.93,1.49,6.89,8.11,2.24,0.45,12.44,5.55,143.12,8.69,35.98,1.15,30.37,32346.00,0.15,1.710512e+002,6.90
203,142.28,0.78,140.28,147.98,146.50,0.78,0.96,1.49,13.46,14.71,2.24,0.45,21.17,9.43,146.65,16.43,61.21,1.17,46.47,95909.00,0.08,1.276665e+003,12.37
204,103.58,0.73,162.64,162.22,161.29,0.73,0.93,1.59,11.48,12.89,2.60,0.38,19.98,7.67,161.88,15.32,55.30,1.19,48.80,81265.00,0.11,7.930066e+002,10.13
205,30.17,0.87,139.69,141.10,138.96,0.84,0.96,1.50,6.20,7.17,2.25,0.44,11.56,5.13,140.30,7.90,33.37,1.17,45.63,27219.00,0.14,1.246820e+002,6.42
206,44.75,0.81,131.20,137.76,136.42,0.78,0.94,1.58,7.55,8.88,2.57,0.39,14.26,5.54,135.88,9.26,39.62,1.17,40.39,35193.00,0.15,2.251852e+002,7.73
207,95.08,0.69,128.28,134.53,137.40,0.69,0.91,1.50,11.00,12.36,2.27,0.44,18.03,7.93,134.64,14.38,51.91,1.16,45.01,63013.00,0.11,6.974010e+002,9.98
208,122.55,0.80,166.42,166.41,163.28,0.80,0.96,1.50,12.49,13.88,2.29,0.44,20.07,8.78,165.45,16.29,57.70,1.16,50.71,95467.00,0.10,1.020520e+003,11.35
209,31.70,0.78,166.08,159.60,152.63,0.78,0.93,1.51,6.35,7.56,2.30,0.43,11.88,5.17,158.26,8.55,34.09,1.15,44.23,31811.00,0.16,1.342906e+002,6.57
210,46.13,0.60,136.69,138.39,145.45,0.67,0.86,1.51,7.66,8.96,2.30,0.43,13.65,5.93,139.80,11.42,39.16,1.15,51.15,37048.00,0.14,2.356877e+002,6.50
211,76.09,0.64,158.92,160.57,159.60,0.67,0.88,1.51,9.84,11.54,2.31,0.43,16.80,7.27,159.98,14.45,48.14,1.26,37.81,62553.00,0.15,4.993302e+002,9.29
212,41.55,0.94,135.30,135.04,137.81,0.75,0.94,1.58,7.27,8.41,2.57,0.39,13.86,5.40,135.90,8.92,38.51,1.19,35.13,33296.00,0.14,2.014604e+002,7.83
213,108.86,0.62,158.36,161.27,162.25,0.59,0.85,1.58,11.77,14.36,2.56,0.39,21.08,8.23,159.59,17.53,58.62,1.41,23.50,83463.00,0.18,8.544434e+002,10.22
214,77.31,0.93,171.66,169.47,164.83,0.84,0.97,1.51,9.92,11.22,2.32,0.43,16.76,7.22,168.32,12.23,47.95,1.16,51.80,66656.00,0.12,5.113855e+002,10.09
215,27.58,0.83,161.24,152.07,146.50,0.79,0.94,1.58,5.93,7.19,2.56,0.39,11.93,4.66,150.94,8.55,33.18,1.16,45.93,27471.00,0.18,1.089281e+002,5.80
216,102.58,0.96,161.75,165.58,162.03,0.85,0.98,1.51,11.43,12.64,2.33,0.43,18.82,8.08,164.06,13.16,53.80,1.18,52.53,81701.00,0.10,7.815091e+002,11.59
217,87.14,0.87,176.02,173.08,166.98,0.83,0.97,1.52,10.53,11.86,2.33,0.43,17.61,7.56,171.57,13.24,50.35,1.17,51.18,74806.00,0.11,6.119068e+002,9.95
218,36.36,0.74,173.48,169.64,161.07,0.77,0.92,1.57,6.80,8.11,2.56,0.39,13.16,5.15,167.53,9.99,36.63,1.17,52.28,37192.00,0.16,1.649176e+002,6.57
219,29.09,0.49,171.60,166.40,168.95,0.59,0.76,1.52,6.09,7.75,2.34,0.43,11.62,4.97,154.96,10.22,33.18,1.10,5.98,29287.00,0.22,1.180067e+002,3.62
220,104.84,0.78,134.79,142.35,146.60,0.72,0.94,1.57,11.55,12.84,2.55,0.39,19.85,7.80,138.46,14.62,55.30,1.19,37.87,70199.00,0.10,8.074712e+002,10.52
221,32.14,0.97,168.77,160.39,153.33,0.81,0.95,1.52,6.40,7.57,2.35,0.43,12.07,5.13,158.89,8.25,34.42,1.16,30.75,32254.00,0.16,1.370917e+002,6.77
222,60.91,0.67,157.93,158.55,157.41,0.68,0.89,1.56,8.81,10.17,2.50,0.40,15.82,6.33,157.97,12.48,44.31,1.17,54.75,51813.00,0.13,3.575643e+002,7.93
223,62.81,0.82,170.41,162.05,157.97,0.81,0.96,1.56,8.94,10.18,2.49,0.40,16.00,6.41,161.74,11.56,44.82,1.18,42.54,54346.00,0.12,3.744994e+002,8.82
224,84.43,0.66,149.72,157.84,157.59,0.70,0.91,1.52,10.37,11.88,2.36,0.42,17.50,7.42,156.83,14.68,49.83,1.15,54.62,66651.00,0.13,5.835497e+002,8.92
225,75.36,0.89,161.25,161.58,164.39,0.67,0.89,1.52,9.80,12.21,2.37,0.42,17.63,7.45,158.89,13.78,50.16,1.57,23.43,61648.00,0.20,4.921525e+002,10.52
226,90.60,0.85,162.93,165.38,164.29,0.78,0.96,1.56,10.74,11.92,2.49,0.40,18.50,7.43,164.76,13.24,51.85,1.19,49.14,74144.00,0.10,6.487658e+002,10.62
227,73.90,0.65,161.84,161.63,156.08,0.67,0.88,1.53,9.70,11.24,2.37,0.42,16.64,7.01,159.97,13.89,47.30,1.15,49.77,61109.00,0.14,4.779222e+002,8.89
228,268.32,0.94,139.37,160.33,164.85,0.83,0.98,1.55,18.48,20.35,2.47,0.40,29.62,11.98,159.27,21.57,83.20,1.35,46.86,180138.00,0.09,3.306230e+003,18.93
229,54.99,0.70,145.16,147.02,139.76,0.72,0.92,1.53,8.37,9.58,2.38,0.42,14.84,6.23,144.45,11.42,42.15,1.17,48.64,43767.00,0.13,3.067218e+002,7.38
230,280.44,0.78,130.12,150.51,154.44,0.74,0.95,1.53,18.90,20.73,2.38,0.42,29.39,12.34,149.36,22.71,83.47,1.26,49.09,175647.00,0.09,3.532907e+003,17.89
231,119.24,0.62,136.10,142.99,143.48,0.63,0.87,1.53,12.32,14.04,2.38,0.42,20.25,8.50,142.12,16.95,57.51,1.15,52.17,80153.00,0.12,9.794922e+002,10.61
232,24.59,0.77,108.23,102.83,107.86,0.79,0.93,1.55,5.60,6.73,2.46,0.41,11.24,4.56,104.51,7.95,31.61,1.17,36.55,17558.00,0.17,9.172258e+001,5.45
233,52.17,0.65,142.01,144.50,141.96,0.69,0.88,1.53,8.15,9.79,2.40,0.42,14.60,6.09,143.43,11.71,41.37,1.13,38.75,41739.00,0.17,2.834608e+002,6.87
234,76.58,0.69,160.49,157.80,162.82,0.73,0.92,1.54,9.87,11.35,2.44,0.41,17.13,7.01,159.59,13.14,48.27,1.16,50.88,62719.00,0.13,5.041385e+002,9.05
235,107.35,0.91,173.81,165.77,159.03,0.79,0.96,1.54,11.69,13.21,2.44,0.41,19.64,8.04,164.61,14.78,55.36,1.17,47.98,85101.00,0.11,8.367069e+002,11.04
236,67.37,0.80,154.39,152.76,150.22,0.75,0.94,1.54,9.26,11.09,2.44,0.41,16.27,6.66,152.17,13.79,45.87,1.13,43.84,54021.00,0.16,4.159834e+002,9.12
237,110.88,0.73,153.19,155.35,151.25,0.74,0.93,1.54,11.88,13.31,2.41,0.41,19.78,8.20,153.79,15.32,55.95,1.17,51.63,81663.00,0.11,8.783179e+002,10.78
238,140.99,0.94,156.95,163.44,161.02,0.84,0.98,1.54,13.40,14.75,2.41,0.41,21.86,9.06,161.90,16.04,61.86,1.18,51.42,105071.00,0.09,1.259365e+003,13.34
239,349.97,0.78,126.43,136.08,142.90,0.24,0.69,5.84,21.11,28.08,16.27,0.06,85.04,5.23,133.72,30.61,180.52,2.03,42.48,191484.00,0.25,4.925122e+003,25.41
240,34.13,0.87,159.02,155.62,153.91,0.82,0.96,1.54,6.59,7.76,2.42,0.41,12.53,5.17,154.69,8.69,35.39,1.17,37.58,32795.00,0.15,1.500004e+002,6.78
241,19.81,0.76,142.61,135.49,143.18,0.47,0.43,5.01,5.02,9.06,13.68,0.07,24.61,1.80,137.70,10.59,52.82,1.52,10.59,19966.00,0.45,6.630745e+001,7.46
242,68.58,0.69,121.02,124.99,120.87,0.69,0.88,1.54,9.34,11.09,2.41,0.42,16.27,6.75,123.13,13.07,46.06,1.13,32.35,44326.00,0.16,4.271916e+002,8.23
243,40.41,0.75,155.45,154.96,152.75,0.69,0.89,1.53,7.17,8.55,2.41,0.42,13.28,5.52,154.35,9.72,37.60,1.15,41.15,37044.00,0.16,1.932561e+002,7.28
244,30.61,0.75,142.17,138.68,135.87,0.68,0.87,1.53,6.24,7.41,2.40,0.42,11.99,4.99,137.97,8.39,33.96,1.16,17.57,27042.00,0.16,1.273961e+002,6.28
245,51.47,0.73,146.10,144.34,141.22,0.73,0.92,1.55,8.10,9.51,2.46,0.41,14.70,5.98,143.38,10.81,41.37,1.16,48.34,41294.00,0.15,2.777638e+002,7.25
246,32.14,0.75,168.46,170.64,163.63,0.75,0.92,1.55,6.40,7.60,2.46,0.41,12.35,5.02,168.31,9.11,34.74,1.16,46.94,34167.00,0.16,1.370917e+002,5.44
247,61.62,0.89,161.31,157.87,166.21,0.78,0.94,1.55,8.86,9.92,2.46,0.41,15.77,6.41,160.72,10.59,44.36,1.19,43.09,53199.00,0.11,3.638777e+002,9.12
248,43.37,0.94,125.34,128.43,127.07,0.93,1.00,1.03,7.43,7.77,1.00,1.00,7.89,7.89,127.68,8.25,31.56,1.05,30.80,32302.00,0.04,2.148827e+002,7.44
249,191.30,0.86,151.03,162.46,163.28,0.83,0.98,1.55,15.61,16.92,2.46,0.41,25.17,10.21,161.39,18.44,70.77,1.20,49.87,135894.00,0.08,1.990390e+003,15.06
250,46.59,0.95,150.89,149.69,144.69,0.82,0.96,1.53,7.70,8.97,2.39,0.42,14.20,5.94,148.30,10.29,40.27,1.33,44.01,39597.00,0.14,2.392325e+002,8.23
251,64.49,0.64,155.09,165.35,165.89,0.69,0.89,1.53,9.06,10.63,2.37,0.42,15.77,6.64,164.06,13.03,44.82,1.14,47.54,56271.00,0.15,3.895776e+002,8.01
252,51.70,0.78,153.06,154.14,151.14,0.76,0.94,1.55,8.11,9.55,2.48,0.40,14.78,5.97,153.11,10.24,41.50,1.16,46.65,44250.00,0.15,2.796575e+002,8.95
253,148.73,0.84,168.35,169.62,166.48,0.81,0.97,1.56,13.76,15.05,2.49,0.40,22.71,9.13,168.52,16.09,63.69,1.20,43.71,114422.00,0.09,1.364521e+003,13.46
254,74.15,0.60,154.77,160.23,153.52,0.65,0.86,1.53,9.72,11.52,2.37,0.42,16.66,7.02,157.45,14.42,47.35,1.13,49.09,60305.00,0.16,4.802822e+002,7.46
255,107.10,0.97,137.43,151.12,153.82,0.83,0.97,1.52,11.68,13.15,2.36,0.42,19.28,8.17,150.25,14.48,54.90,1.16,42.53,77531.00,0.11,8.337650e+002,11.88
256,50.54,0.88,165.82,157.85,151.18,0.81,0.95,1.52,8.02,9.07,2.36,0.42,14.29,6.07,156.61,9.68,40.72,1.18,39.32,44478.00,0.12,2.702419e+002,8.36
257,198.16,0.85,141.99,156.10,155.51,0.79,0.96,1.56,15.88,17.48,2.51,0.40,25.80,10.27,154.25,19.52,72.15,1.18,50.73,133887.00,0.09,2.098353e+003,15.54
258,41.55,0.94,173.93,170.97,164.02,0.76,0.92,1.57,7.27,8.84,2.53,0.40,13.75,5.44,168.91,10.18,38.38,1.14,32.73,41382.00,0.18,2.014604e+002,7.51
259,28.87,0.55,153.19,145.48,142.66,0.65,0.80,1.57,6.06,7.64,2.53,0.40,12.06,4.76,138.01,9.81,33.63,1.13,5.09,25945.00,0.21,1.166906e+002,4.14
260,56.64,0.71,144.69,146.74,150.96,0.74,0.91,1.52,8.49,10.05,2.35,0.43,15.12,6.44,147.77,12.05,43.12,1.29,49.47,45809.00,0.16,3.206362e+002,7.32
261,110.12,0.83,147.11,147.19,139.77,0.75,0.96,1.57,11.84,13.61,2.55,0.39,20.44,8.02,144.85,15.99,56.92,1.27,46.83,76481.00,0.13,8.693348e+002,11.33
262,102.07,0.88,173.33,168.88,162.32,0.83,0.97,1.52,11.40,12.54,2.34,0.43,18.82,8.05,168.62,13.79,53.74,1.18,45.79,83635.00,0.09,7.757850e+002,10.88
263,41.55,0.89,161.58,162.49,162.42,0.78,0.94,1.51,7.27,8.36,2.33,0.43,13.20,5.67,162.22,9.77,37.73,1.17,38.19,39744.00,0.13,2.014604e+002,7.51
264,104.08,0.79,161.63,157.03,146.53,0.77,0.96,1.51,11.51,12.95,2.32,0.43,18.88,8.15,154.39,15.39,54.06,1.16,48.79,77813.00,0.11,7.987801e+002,10.22
265,90.85,0.75,166.83,167.81,161.63,0.74,0.94,1.51,10.76,12.09,2.31,0.43,17.85,7.72,165.84,14.32,51.13,1.16,49.40,74794.00,0.11,6.514312e+002,9.67
266,77.07,0.75,174.77,167.20,160.15,0.75,0.94,1.50,9.91,11.09,2.26,0.44,16.50,7.31,165.94,12.78,47.62,1.17,49.85,65548.00,0.11,5.089653e+002,8.72
267,114.17,0.71,145.69,149.90,151.74,0.61,0.88,1.58,12.06,14.26,2.57,0.39,21.21,8.24,146.58,16.98,58.89,1.35,24.60,79737.00,0.15,9.176603e+002,11.06
268,116.70,0.79,141.26,149.90,151.56,0.75,0.95,1.58,12.19,13.71,2.58,0.39,20.88,8.10,149.02,15.90,57.97,1.18,48.80,82558.00,0.11,9.483798e+002,11.80
269,130.98,0.81,171.81,172.73,164.90,0.78,0.95,1.58,12.91,14.26,2.59,0.39,21.96,8.48,170.27,15.72,60.88,1.20,47.13,103864.00,0.09,1.127578e+003,13.17
270,65.45,0.77,147.00,145.73,143.90,0.76,0.93,1.58,9.13,10.74,2.59,0.39,16.57,6.40,145.20,11.61,45.93,1.16,30.77,50386.00,0.15,3.983016e+002,9.62
271,68.09,0.78,141.45,143.55,142.91,0.67,0.93,1.58,9.31,11.85,2.59,0.39,18.43,7.11,139.90,14.38,51.07,1.73,20.84,50083.00,0.21,4.226939e+002,9.65
272,86.15,0.74,156.55,160.56,158.38,0.72,0.92,1.49,10.47,12.27,2.25,0.44,17.41,7.74,159.33,14.13,50.29,1.25,40.28,68832.00,0.15,6.015333e+002,9.82
273,117.72,0.94,170.90,165.93,160.42,0.82,0.97,1.59,12.24,13.76,2.61,0.38,21.26,8.14,164.85,15.33,58.81,1.30,43.26,91984.00,0.11,9.607778e+002,12.49
274,86.89,0.84,173.66,169.99,163.32,0.81,0.96,1.49,10.52,11.61,2.22,0.45,17.19,7.73,168.31,12.94,49.83,1.17,46.96,73217.00,0.09,6.093069e+002,9.70
275,34.58,0.74,172.73,172.45,169.60,0.77,0.91,1.59,6.63,7.85,2.62,0.38,13.09,4.99,171.46,9.25,36.17,1.18,26.00,36693.00,0.15,1.529358e+002,5.95
276,152.36,0.59,172.93,173.60,165.08,0.59,0.86,1.60,13.93,15.85,2.63,0.38,23.77,9.02,170.94,19.31,65.57,1.27,47.57,118460.00,0.12,1.414697e+003,11.02
277,95.33,0.81,176.71,172.19,168.79,0.77,0.95,1.60,11.02,12.59,2.64,0.38,19.43,7.37,171.68,15.22,53.61,1.18,51.20,80517.00,0.13,7.001436e+002,10.52
