date,time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
05.05.1615:45:39,1970,1.93,10.09,10.1,9.87,7.71,2.66,8.06,4.6,13.03,7.71,6.25,8.05,6.7,4.7,10.62,11.18,2.25,9.45,7.1,7.9,5.11,11.08,11.04
05.05.1615:45:54,1985,1.95,10.1,10.09,9.85,7.68,2.65,8.09,4.59,13.03,7.71,6.23,8.08,6.75,4.73,10.62,11.12,2.2,9.52,7.12,7.86,5.03,11.08,11.12
05.05.1615:46:10,2001,1.94,10.1,10.09,9.82,7.67,2.63,8.11,4.57,13.02,7.71,6.2,8.08,6.66,4.57,10.68,11.08,2.24,9.55,7.15,7.88,5.01,11.01,11.04
05.05.1615:46:25,2016,1.94,10.09,10.1,9.84,7.67,2.59,8.06,4.54,13.02,7.69,6.11,8.08,6.63,4.67,10.64,11.12,2.18,9.4,7.15,7.93,5.04,11.11,11.04
05.05.1615:46:40,2031,1.95,10.1,10.07,9.85,7.65,2.59,8.06,4.53,13.02,7.68,6.1,8.05,6.59,4.67,10.64,11.18,2.19,9.48,7.14,7.97,5.06,11.14,11.09
05.05.1615:46:55,2046,1.95,10.06,10.1,9.87,7.65,2.56,8.05,4.49,13,7.65,6.11,8.06,6.62,4.63,10.65,11.12,2.17,9.55,7.04,7.93,4.94,11.12,11.04
05.05.1615:47:10,2061,1.94,10.09,10.07,9.82,7.64,2.55,8.06,4.46,12.98,7.67,6.11,8.05,6.65,4.59,10.65,11.09,2.24,9.53,7.11,7.91,4.96,11.11,11.04
05.05.1615:47:25,2076,1.95,10.12,10.07,9.87,7.61,2.52,8.04,4.46,12.98,7.67,6.11,8.02,6.65,4.53,10.74,11.2,2.28,9.53,7.15,8.01,4.93,11.14,11.14
05.05.1615:47:40,2091,1.96,10.09,10.09,9.82,7.58,2.5,8.04,4.42,12.95,7.69,6.01,7.99,6.57,4.52,10.61,11.11,2.21,9.46,7.03,7.95,5.01,11,11.06
05.05.1615:47:55,2106,1.95,10.09,10.09,9.82,7.62,2.49,8.01,4.39,12.98,7.68,6.01,8.04,6.62,4.43,10.71,11.2,2.19,9.46,7.06,7.99,4.96,11.03,11.09
05.05.1615:48:10,2121,1.95,10.07,10.1,9.85,7.57,2.47,8.01,4.39,12.97,7.62,5.99,8.01,6.55,4.49,10.64,11.09,2.23,9.53,7.07,7.99,4.84,11.09,11.01
05.05.1615:48:25,2136,1.94,10.09,10.07,9.82,7.56,2.44,7.98,4.34,12.95,7.67,6.01,8.01,6.59,4.41,10.73,11.08,2.25,9.55,6.96,7.93,4.84,11.04,11.06
05.05.1615:48:40,2151,1.96,10.07,10.09,9.81,7.57,2.46,7.98,4.34,12.94,7.67,6.01,8.02,6.5,4.46,10.68,11.18,2.19,9.46,7.08,8.02,4.81,11.11,11.12
05.05.1615:48:55,2166,1.95,10.09,10.06,9.85,7.57,2.43,7.93,4.28,12.95,7.65,5.99,7.98,6.55,4.31,10.68,11.17,2.19,9.56,7.02,7.98,4.83,11.09,11.08
05.05.1615:49:10,2181,1.95,10.09,10.09,9.87,7.53,2.44,7.95,4.27,12.97,7.62,5.9,7.99,6.51,4.3,10.73,11.17,2.21,9.58,6.92,8.01,4.86,10.95,11.01
05.05.1615:49:25,2196,1.96,10.1,10.07,9.85,7.54,2.43,7.94,4.26,12.97,7.64,5.95,7.98,6.51,4.3,10.58,11.12,2.25,9.42,6.96,7.93,4.88,11.12,11.06
05.05.1615:49:40,2211,1.96,10.09,10.09,9.85,7.53,2.42,7.97,4.23,12.97,7.62,5.86,7.99,6.42,4.25,10.77,11.08,2.24,9.58,6.99,8.05,4.8,11.03,11.03
05.05.1615:49:55,2226,1.98,10.09,10.09,9.84,7.52,2.41,7.94,4.21,12.92,7.65,5.94,7.97,6.45,4.17,10.67,11.09,2.23,9.61,6.96,7.99,4.69,11.06,11.03
05.05.1615:50:10,2241,1.94,10.09,10.1,9.84,7.48,2.41,7.94,4.2,12.9,7.62,5.88,7.95,6.48,4.2,10.71,11.15,2.16,9.49,6.99,7.94,4.81,10.97,11.03
05.05.1615:50:25,2256,1.95,10.09,10.06,9.84,7.49,2.38,7.93,4.14,12.92,7.6,5.83,7.95,6.44,4.27,10.71,11.11,2.16,9.49,6.92,7.99,4.79,11.01,11.03
05.05.1615:50:40,2271,1.94,10.12,10.07,9.82,7.46,2.36,7.88,4.11,12.89,7.58,5.89,7.97,6.45,4.13,10.61,11.15,2.2,9.55,6.87,7.82,4.73,10.98,11.06
05.05.1615:50:55,2286,1.95,10.07,10.1,9.84,7.43,2.34,7.91,4.11,12.87,7.6,5.88,7.94,6.38,4.19,10.56,11.06,2.18,9.46,6.94,7.88,4.7,11.03,10.95
05.05.1615:51:10,2301,1.94,10.06,10.04,9.84,7.42,2.32,7.91,4.05,12.89,7.58,5.85,7.91,6.42,4.16,10.7,11.04,2.16,9.56,6.9,7.84,4.64,10.98,11.04
05.05.1615:51:25,2316,1.95,10.1,10.1,9.84,7.42,2.32,7.9,4.04,12.89,7.57,5.76,7.91,6.44,4.1,10.67,11.04,2.11,9.43,6.86,7.97,4.65,10.89,10.98
05.05.1615:51:40,2331,1.95,10.09,10.07,9.82,7.41,2.31,7.9,4.02,12.85,7.57,5.76,7.9,6.34,3.97,10.53,11.04,2.1,9.58,6.78,7.94,4.59,10.91,10.98
05.05.1615:51:55,2346,1.94,10.09,10.04,9.81,7.38,2.32,7.86,3.96,12.85,7.54,5.74,7.87,6.29,4.05,10.59,11.04,2.19,9.48,6.83,7.9,4.59,10.89,10.92
05.05.1615:52:10,2361,1.96,10.09,10.07,9.81,7.39,2.32,7.83,3.97,12.85,7.52,5.75,7.9,6.34,4.04,10.64,11.09,2.17,9.45,6.79,7.86,4.59,11.01,11
05.05.1615:52:25,2376,1.95,10.09,10.04,9.81,7.37,2.34,7.86,3.94,12.82,7.49,5.7,7.88,6.41,3.91,10.58,11.06,2.09,9.49,6.83,7.95,4.57,11,11
05.05.1615:52:40,2391,1.94,10.06,10.03,9.8,7.35,2.28,7.82,3.93,12.82,7.46,5.71,7.91,6.33,3.91,10.64,11.08,2.15,9.55,6.86,7.97,4.5,10.95,10.98
05.05.1615:52:55,2406,1.96,10.06,10.06,9.78,7.38,2.31,7.84,3.91,12.76,7.46,5.7,7.9,6.3,3.91,10.59,11.12,2.16,9.56,6.78,7.94,4.55,11,10.92
05.05.1615:53:10,2421,1.95,10.06,10.04,9.78,7.37,2.28,7.8,3.87,12.76,7.45,5.63,7.87,6.23,3.88,10.58,11.14,2.11,9.58,6.84,7.86,4.49,10.88,10.98
05.05.1615:53:25,2436,1.95,10.04,10.07,9.81,7.37,2.29,7.8,3.87,12.76,7.43,5.62,7.88,6.27,3.98,10.52,11.03,2.17,9.4,6.8,7.84,4.54,10.89,11
05.05.1615:53:41,2452,1.95,10.03,10.06,9.81,7.33,2.26,7.8,3.85,12.74,7.42,5.68,7.82,6.24,3.83,10.59,11.03,2.17,9.53,6.79,7.93,4.48,10.92,10.95
05.05.1615:53:56,2467,1.95,10.07,10.06,9.82,7.34,2.27,7.8,3.83,12.76,7.39,5.62,7.84,6.25,3.86,10.53,11.14,2.17,9.46,6.69,7.84,4.47,10.89,10.91
05.05.1615:54:11,2482,1.95,10.07,10.07,9.8,7.33,2.27,7.79,3.8,12.69,7.39,5.65,7.84,6.28,3.82,10.52,10.98,2.11,9.53,6.8,7.88,4.42,10.97,10.95
05.05.1615:54:26,2497,1.94,10.04,10.06,9.8,7.33,2.26,7.73,3.76,12.66,7.37,5.6,7.82,6.14,3.81,10.56,11.14,2.1,9.36,6.62,7.9,4.37,10.85,10.95
05.05.1615:54:41,2512,1.94,10.06,10.04,9.82,7.33,2.26,7.76,3.77,12.69,7.42,5.57,7.86,6.17,3.8,10.61,10.95,2.09,9.49,6.71,7.84,4.41,10.98,11.01
05.05.1615:54:56,2527,1.93,10.07,10.06,9.78,7.31,2.21,7.75,3.74,12.69,7.34,5.56,7.84,6.15,3.75,10.5,11.14,2.12,9.43,6.62,7.82,4.43,10.92,10.85
05.05.1615:55:11,2542,1.94,10.09,10.1,9.82,7.31,2.24,7.76,3.71,12.71,7.35,5.52,7.86,6.24,3.74,10.64,11.14,2.11,9.46,6.77,7.86,4.31,10.92,10.97
05.05.1615:55:26,2557,1.94,10.09,10.07,9.82,7.26,2.21,7.73,3.67,12.68,7.34,5.47,7.82,6.1,3.71,10.52,11.11,2.11,9.36,6.74,7.9,4.34,10.86,10.97
05.05.1615:55:41,2572,1.93,10.06,10.06,9.82,7.26,2.23,7.72,3.64,12.66,7.33,5.52,7.8,6.12,3.67,10.56,11.03,2.18,9.42,6.62,7.87,4.26,10.98,10.97
05.05.1615:55:56,2587,1.95,10.04,10.07,9.81,7.26,2.23,7.69,3.64,12.63,7.33,5.48,7.8,6.15,3.69,10.55,11.14,2.13,9.48,6.7,7.77,4.28,10.97,10.89
05.05.1615:56:11,2602,1.94,10.07,10.04,9.8,7.22,2.21,7.72,3.59,12.61,7.34,5.48,7.8,6.12,3.61,10.47,11.08,2.11,9.35,6.55,7.79,4.27,10.86,10.86
05.05.1615:56:26,2617,1.95,10.07,10.07,9.8,7.22,2.21,7.68,3.61,12.65,7.3,5.48,7.83,6.04,3.56,10.53,11.01,2.13,9.46,6.61,7.88,4.26,10.88,10.88
05.05.1615:56:41,2632,1.94,10.03,10.06,9.8,7.18,2.21,7.67,3.57,12.65,7.29,5.4,7.82,6.17,3.57,10.59,11.04,2.06,9.43,6.55,7.93,4.31,10.86,10.97
05.05.1615:56:56,2647,1.94,10.06,10.06,9.82,7.19,2.21,7.67,3.55,12.65,7.3,5.38,7.83,6.12,3.52,10.53,11.09,2.12,9.37,6.58,7.84,4.3,10.91,10.89
05.05.1615:57:11,2662,1.93,10.06,10.09,9.81,7.15,2.19,7.65,3.52,12.65,7.3,5.38,7.82,6.08,3.52,10.59,11.06,2.13,9.35,6.63,7.77,4.28,10.92,10.86
05.05.1615:57:26,2677,1.94,10.06,10.04,9.82,7.14,2.2,7.62,3.51,12.63,7.31,5.39,7.8,6.1,3.52,10.55,11.14,2.07,9.36,6.57,7.87,4.22,10.86,10.94
05.05.1615:57:41,2692,1.95,10.04,10.06,9.8,7.12,2.16,7.61,3.5,12.63,7.29,5.38,7.77,6.07,3.52,10.52,11.09,2.13,9.36,6.57,7.82,4.19,10.92,10.95
05.05.1615:57:56,2707,1.93,10.07,10.04,9.81,7.12,2.19,7.6,3.49,12.63,7.27,5.33,7.77,6.02,3.52,10.49,10.98,2.08,9.45,6.54,7.82,4.15,10.88,10.98
05.05.1615:58:11,2722,1.94,10.06,10.07,9.8,7.1,2.17,7.57,3.45,12.6,7.26,5.32,7.77,5.98,3.42,10.53,10.98,2.15,9.36,6.48,7.84,4.2,10.94,10.92
05.05.1615:58:26,2737,1.94,10.07,10.03,9.78,7.07,2.16,7.57,3.43,12.6,7.26,5.24,7.75,6.02,3.37,10.56,10.92,2.08,9.52,6.57,7.88,4.11,10.95,10.92
05.05.1615:58:41,2752,1.94,10.06,10.03,9.81,7.08,2.19,7.58,3.42,12.6,7.31,5.28,7.75,5.99,3.34,10.59,11,2.15,9.39,6.58,7.8,4.13,10.91,10.98
05.05.1615:58:56,2767,1.95,10.09,10.07,9.8,7.07,2.18,7.53,3.37,12.6,7.29,5.25,7.76,6.02,3.34,10.59,10.94,2.1,9.49,6.5,7.91,4.04,10.98,10.95
05.05.1615:59:11,2782,1.95,10.07,10.03,9.81,7.06,2.15,7.52,3.36,12.58,7.27,5.27,7.72,5.95,3.38,10.53,10.98,2.08,9.48,6.51,7.9,4.02,10.94,10.88
05.05.1615:59:26,2797,1.95,10.04,10.07,9.8,7.04,2.17,7.49,3.33,12.58,7.27,5.24,7.72,5.9,3.3,10.53,10.97,2.09,9.43,6.41,7.79,4.1,10.91,10.92
05.05.1615:59:41,2812,1.94,10.03,10.04,9.78,7.02,2.15,7.48,3.31,12.55,7.26,5.19,7.73,5.9,3.34,10.49,10.97,2.1,9.37,6.48,7.88,4.03,10.92,10.88
05.05.1615:59:56,2827,1.94,10.06,10.04,9.81,7.02,2.16,7.48,3.3,12.54,7.26,5.18,7.73,5.95,3.33,10.52,10.94,2.08,9.5,6.42,7.84,3.97,10.94,10.88
05.05.1616:00:11,2842,1.96,10.07,10.04,9.82,7.03,2.16,7.49,3.27,12.55,7.25,5.14,7.71,5.94,3.26,10.49,11.04,2.11,9.33,6.5,7.82,3.99,10.86,10.83
