photo,UniqueID,date,type,Area,Angle,Length,treatment,temperature,replicate
385,5,May3,size,0.0003127,-17.496,0.173,FULL,20,5
385,5,May3,size,0.0002904,-47.726,0.16,FULL,20,5
385,5,May3,size,0.0002744,-165.635,0.151,FULL,20,5
385,5,May3,size,0.0003415,-172.405,0.19,FULL,20,5
385,5,May3,size,0.000367,-42.51,0.203,FULL,20,5
385,5,May3,size,0.0002521,16.348,0.14,FULL,20,5
385,5,May3,size,0.000351,45.744,0.195,FULL,20,5
385,5,May3,size,0.0002744,-25.665,0.152,FULL,20,5
385,5,May3,size,0.0002904,-20.037,0.161,FULL,20,5
385,5,May3,size,0.0001596,160.821,0.088,FULL,20,5
385,5,May3,size,0.0002585,97.927,0.143,FULL,20,5
385,5,May3,size,0.0003861,87.114,0.214,FULL,20,5
385,5,May3,size,0.0002649,-157.166,0.147,FULL,20,5
385,5,May3,size,0.0003829,67.306,0.213,FULL,20,5
385,5,May3,size,0.0004053,176.367,0.225,FULL,20,5
385,5,May3,size,3e-04,-108.239,0.165,FULL,20,5
385,5,May3,size,0.0002872,-147.381,0.159,FULL,20,5
385,5,May3,size,0.0002936,141.736,0.162,FULL,20,5
385,5,May3,size,0.0003989,-0.924,0.222,FULL,20,5
385,5,May3,size,0.0003766,-12.265,0.21,FULL,20,5
385,5,May3,size,0.0002808,135.466,0.155,FULL,20,5
385,5,May3,size,0.0004085,-78.158,0.228,FULL,20,5
385,5,May3,size,0.0003032,-19.204,0.169,FULL,20,5
385,5,May3,size,0.0002904,-47.726,0.16,FULL,20,5
385,5,May3,size,0.0002553,-0.716,0.142,FULL,20,5
385,5,May3,size,0.0002521,-96.582,0.139,FULL,20,5
388,6,May3,size,0.0002397,-128.904,0.132,FULL,20,6
388,6,May3,size,0.0003143,-164.954,0.173,FULL,20,6
388,6,May3,size,0.0002592,-42.955,0.143,FULL,20,6
388,6,May3,size,0.0002786,-70.074,0.153,FULL,20,6
388,6,May3,size,0.0002592,117.86,0.143,FULL,20,6
388,6,May3,size,0.0002495,25.887,0.136,FULL,20,6
388,6,May3,size,0.0002786,-8.797,0.153,FULL,20,6
388,6,May3,size,0.0002268,-25.821,0.124,FULL,20,6
388,6,May3,size,0.0002073,-66.682,0.114,FULL,20,6
388,6,May3,size,0.0001782,173.66,0.098,FULL,20,6
388,6,May3,size,0.0003207,153.958,0.176,FULL,20,6
388,6,May3,size,0.0003531,-142.172,0.194,FULL,20,6
388,6,May3,size,0.0002495,-9.834,0.137,FULL,20,6
388,6,May3,size,0.0003143,-83.991,0.172,FULL,20,6
388,6,May3,size,0.0003078,-27.929,0.169,FULL,20,6
388,6,May3,size,0.0003596,-74.197,0.198,FULL,20,6
388,6,May3,size,0.0002527,-10.437,0.139,FULL,20,6
